idx,blocks,b,sizes,J_float,J_recon,tag,wall_s
13,"[[0, 2], [1, 4], [3], [5]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936467385),1/1260,ok,15.1
14,"[[0, 2], [1], [3, 4], [5]]",4,"[1, 1, 2, 2]",np.float64(-2.525757381022231e-14),0,zero,15.08
15,"[[0, 2, 5], [1], [3], [4]]",4,"[1, 1, 1, 3]",np.float64(-2.7144952952085077e-14),0,zero,15.11
16,"[[0, 2], [1, 5], [3], [4]]",4,"[1, 1, 2, 2]",np.float64(-0.0011904761904816819),-1/840,ok,15.71
17,"[[0, 2], [1], [3, 5], [4]]",4,"[1, 1, 2, 2]",np.float64(0.01269841269841121),4/315,ok,15.75
18,"[[0, 2], [1], [3], [4, 5]]",4,"[1, 1, 2, 2]",np.float64(-2.525757381022231e-14),0,zero,15.56
19,"[[0, 3], [1, 2], [4], [5]]",4,"[1, 1, 2, 2]",np.float64(-2.55351295663786e-15),0,zero,15.54
20,"[[0], [1, 2, 3], [4], [5]]",4,"[1, 1, 1, 3]",np.float64(-4.168887457467463e-14),0,zero,14.53
21,"[[0, 4], [1, 2], [3], [5]]",4,"[1, 1, 2, 2]",np.float64(-1.942890293094024e-14),0,zero,14.84
22,"[[0], [1, 2, 4], [3], [5]]",4,"[1, 1, 1, 3]",np.float64(-7.66053886991358e-15),0,zero,15.48
23,"[[0], [1, 2], [3, 4], [5]]",4,"[1, 1, 2, 2]",np.float64(-4.168887457467463e-14),0,zero,14.61
24,"[[0, 5], [1, 2], [3], [4]]",4,"[1, 1, 2, 2]",np.float64(-3.091971123581061e-14),0,zero,14.66
25,"[[0], [1, 2, 5], [3], [4]]",4,"[1, 1, 1, 3]",np.float64(-9.880984919163893e-15),0,zero,14.5
